Location,lat,lon,lon_indx,lat_indx,Accipitriformes1,Accipitriformes10,Accipitriformes11,Accipitriformes12,Accipitriformes2,Accipitriformes3,Accipitriformes4,Accipitriformes5,Accipitriformes6,Accipitriformes7,Accipitriformes8,Accipitriformes9,Anseriformes1,Anseriformes10,Anseriformes11,Anseriformes12,Anseriformes2,Anseriformes3,Anseriformes4,Anseriformes5,Anseriformes6,Anseriformes7,Anseriformes8,Anseriformes9,Charadriiformes1,Charadriiformes10,Charadriiformes11,Charadriiformes12,Charadriiformes2,Charadriiformes3,Charadriiformes4,Charadriiformes5,Charadriiformes6,Charadriiformes7,Charadriiformes8,Charadriiformes9,Ciconiiformes1,Ciconiiformes10,Ciconiiformes11,Ciconiiformes12,Ciconiiformes2,Ciconiiformes3,Ciconiiformes4,Ciconiiformes5,Ciconiiformes6,Ciconiiformes7,Ciconiiformes8,Ciconiiformes9,Falconiformes1,Falconiformes10,Falconiformes11,Falconiformes12,Falconiformes2,Falconiformes3,Falconiformes4,Falconiformes5,Falconiformes6,Falconiformes7,Falconiformes8,Falconiformes9,Gruiformes1,Gruiformes10,Gruiformes11,Gruiformes12,Gruiformes2,Gruiformes3,Gruiformes4,Gruiformes5,Gruiformes6,Gruiformes7,Gruiformes8,Gruiformes9,Passeriformes1,Passeriformes10,Passeriformes11,Passeriformes12,Passeriformes2,Passeriformes3,Passeriformes4,Passeriformes5,Passeriformes6,Passeriformes7,Passeriformes8,Passeriformes9,Pelecaniformes1,Pelecaniformes10,Pelecaniformes11,Pelecaniformes12,Pelecaniformes2,Pelecaniformes3,Pelecaniformes4,Pelecaniformes5,Pelecaniformes6,Pelecaniformes7,Pelecaniformes8,Pelecaniformes9,Procellariiformes1,Procellariiformes10,Procellariiformes11,Procellariiformes12,Procellariiformes2,Procellariiformes3,Procellariiformes4,Procellariiformes5,Procellariiformes6,Procellariiformes7,Procellariiformes8,Procellariiformes9,Suliformes1,Suliformes10,Suliformes11,Suliformes12,Suliformes2,Suliformes3,Suliformes4,Suliformes5,Suliformes6,Suliformes7,Suliformes8,Suliformes9
Africa,8.026693,-7.546616,690,328,0.5618295073509216,0.2411593645811081,0.5428069233894348,0.554089367389679,0.5524923205375671,0.5682892799377441,0.24302740395069122,0.22474107146263123,0.2201661765575409,0.23791444301605225,0.20851440727710724,0.23182827234268188,0.02962682954967022,0.028538597747683525,0.029127486050128937,0.0286778025329113,0.029156971722841263,0.027644336223602295,0.02674091048538685,0.02710861898958683,0.026845470070838928,0.029095347970724106,0.029557127505540848,0.030125118792057037,0.261196106672287,0.10035675764083862,0.24677781760692596,0.2691415846347809,0.24125133454799652,0.1678740680217743,0.07317575067281723,0.08428841829299927,0.0779963806271553,0.05876661464571953,0.06064094230532646,0.07266709953546524,0.2602767050266266,0.14074571430683136,0.14108209311962128,0.23580293357372284,0.23518207669258118,0.2130979597568512,0.14415325224399567,0.13964661955833435,0.13782654702663422,0.09109809249639511,0.11487629264593124,0.07886146754026413,0.028386423364281654,0.030358431860804558,0.03912724554538727,0.02890145219862461,0.03924425691366196,0.04270457103848457,0.02981671877205372,0.032371267676353455,0.033934809267520905,0.03042803891003132,0.0317375585436821,0.03235509619116783,0.02980015054345131,0.03135750815272331,0.02935212478041649,0.030253181234002113,0.030654143542051315,0.03487194702029228,0.030039938166737556,0.032067786902189255,0.029548799619078636,0.029548799619078636,0.029548799619078636,0.029815673828125,0.530266523361206,0.5784358978271484,0.6166370511054993,0.5234286785125732,0.5771267414093018,0.5648640394210815,0.4071263074874878,0.5330372452735901,0.4948773682117462,0.3847363293170929,0.37216123938560486,0.531622588634491,0.039565254002809525,0.054510921239852905,0.04623015224933624,0.0376947745680809,0.044063229113817215,0.06340216845273972,0.06596429646015167,0.052327707409858704,0.06325042247772217,0.055282529443502426,0.05497365817427635,0.042469777166843414,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.1612120419740677,0.3088698089122772,0.3089068830013275,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772,0.3088698089122772
CA,25.52026,83.473704,1054,258,0.48479312658309937,0.5200939774513245,0.48044994473457336,0.47481489181518555,0.52149897813797,0.494561105966568,0.40645813941955566,0.3623385429382324,0.24657848477363586,0.2365417778491974,0.40382540225982666,0.5174552202224731,0.11642101407051086,0.04018969088792801,0.1302747130393982,0.1073165014386177,0.11670809239149094,0.040544476360082626,0.03135354816913605,0.030914993956685066,0.03214650973677635,0.03088272549211979,0.031626585870981216,0.03212369978427887,0.3708716630935669,0.39798974990844727,0.575201690196991,0.46990126371383667,0.4081079661846161,0.5493568181991577,0.46676450967788696,0.18229812383651733,0.12097551673650742,0.13326090574264526,0.10702209919691086,0.11936231702566147,0.5415276885032654,0.6539468169212341,0.6871735453605652,0.6118946671485901,0.6207922697067261,0.5950145721435547,0.7935938835144043,0.7070821523666382,0.24918051064014435,0.15378470718860626,0.14203006029129028,0.177021324634552,0.28966182470321655,0.25483036041259766,0.2581685483455658,0.26676204800605774,0.29040297865867615,0.2649524211883545,0.07832888513803482,0.03279278799891472,0.030841326341032982,0.0325697660446167,0.03339412063360214,0.03283574804663658,0.07428156584501266,0.02787071466445923,0.03155999630689621,0.1308855563402176,0.04017883539199829,0.03562295436859131,0.027870643883943558,0.026818469166755676,0.027289392426609993,0.02794213779270649,0.02573823742568493,0.025187691673636436,0.13414105772972107,0.3256402611732483,0.15639762580394745,0.115712970495224,0.15306498110294342,0.11921577900648117,0.09113489836454391,0.13125041127204895,0.1821397989988327,0.22960495948791504,0.31379762291908264,0.37789687514305115,0.031298138201236725,0.051879700273275375,0.0315404012799263,0.030814433470368385,0.03213736414909363,0.041123244911432266,0.035559602081775665,0.041478242725133896,0.043680500239133835,0.03475061058998108,0.0349232479929924,0.040567412972450256,0.163535013794899,0.1642119586467743,0.16772757470607758,0.16471156477928162,0.16437417268753052,0.1650467962026596,0.1651821732521057,0.16395407915115356,0.16160272061824799,0.17084906995296478,0.1621936559677124,0.16218487918376923,0.30886077880859375,0.31064048409461975,0.30886077880859375,0.30886077880859375,0.30886077880859375,0.3156035542488098,0.3096318542957306,0.3096318542957306,0.3096998929977417,0.3096998929977417,0.3096998929977417,0.30981460213661194
Europe,49.512838,11.784004,767,162,0.16344985365867615,0.20932982861995697,0.2009667605161667,0.16353440284729004,0.1737653911113739,0.21503940224647522,0.1955469399690628,0.145650714635849,0.3130459785461426,0.35512855648994446,0.29589343070983887,0.21565698087215424,0.08377385139465332,0.1484837681055069,0.12342827022075653,0.10784289985895157,0.1327717900276184,0.13057492673397064,0.18202468752861023,0.14225250482559204,0.13839305937290192,0.12322988361120224,0.10881993919610977,0.11787217110395432,0.02872198447585106,0.13816745579242706,0.08442270010709763,0.02921612374484539,0.030513765290379524,0.07344760000705719,0.08595307171344757,0.08467935770750046,0.08145277947187424,0.07519955933094025,0.08356410264968872,0.10052706301212311,0.040622275322675705,0.051025986671447754,0.03998871147632599,0.04002602770924568,0.043168749660253525,0.04998624324798584,0.05946165695786476,0.13144391775131226,0.048096999526023865,0.1927005499601364,0.1823933869600296,0.1295251101255417,0.19589819014072418,0.16873104870319366,0.2872512936592102,0.20155483484268188,0.11434825509786606,0.23331992328166962,0.14014741778373718,0.12878075242042542,0.06980825960636139,0.07095084339380264,0.07946617156267166,0.12359016388654709,0.24029141664505005,0.5267160534858704,0.38147565722465515,0.3564051389694214,0.2288292944431305,0.43553444743156433,0.5526482462882996,0.40780311822891235,0.5342023372650146,0.3950955867767334,0.5256651043891907,0.48733192682266235,0.06392323970794678,0.09744203835725784,0.056759536266326904,0.066414974629879,0.04976866394281387,0.060587093234062195,0.11260846257209778,0.07678242772817612,0.09157206863164902,0.11767233163118362,0.09674449265003204,0.07405572384595871,0.024707205593585968,0.04959589242935181,0.03899920731782913,0.026607125997543335,0.04628194496035576,0.04338567331433296,0.05226780101656914,0.03382796049118042,0.03404367342591286,0.04352260380983353,0.033418089151382446,0.04675617814064026,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615544557571411,0.1615544557571411,0.1615617871284485,0.3088183104991913,0.30879613757133484,0.30879613757133484,0.3088183104991913,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484
JapanKorea,38.389548,140.23420900000002,1281,206,0.7508339285850525,0.6309106349945068,0.7723034024238586,0.7675191164016724,0.7586027383804321,0.7675191164016724,0.7752299904823303,0.8234276175498962,0.5778498649597168,0.5618900060653687,0.5610312819480896,0.5634179711341858,0.09891702234745026,0.12113793194293976,0.13419121503829956,0.13447317481040955,0.0958063155412674,0.1358950287103653,0.13640950620174408,0.08379709720611572,0.06896713376045227,0.037121620029211044,0.030155979096889496,0.03799685090780258,0.03103906288743019,0.08253977447748184,0.0976162850856781,0.04890391230583191,0.034484345465898514,0.045110609382390976,0.09842348843812943,0.11343243718147278,0.11394640803337097,0.09302923828363419,0.09207834303379059,0.10784514993429184,0.14720511436462402,0.12571068108081818,0.18941059708595276,0.1528303325176239,0.1474788933992386,0.14257627725601196,0.19024300575256348,0.12275993824005127,0.11823387444019318,0.16440615057945251,0.15321455895900726,0.1686154454946518,0.08073456585407257,0.07107029855251312,0.1140536516904831,0.12511245906352997,0.13205473124980927,0.14642199873924255,0.08382882177829742,0.08516615629196167,0.05560703203082085,0.03921770304441452,0.03998345136642456,0.05249720439314842,0.3154458701610565,0.4181101620197296,0.4056219458580017,0.36415672302246094,0.32648077607154846,0.37942856550216675,0.3884214758872986,0.3058784604072571,0.2751244902610779,0.09533712267875671,0.032041750848293304,0.26264792680740356,0.08513276278972626,0.3944905400276184,0.12174567580223083,0.09642034769058228,0.08645462989807129,0.09348665177822113,0.19050103425979614,0.4425341784954071,0.49384504556655884,0.5571722388267517,0.5678117871284485,0.49317994713783264,0.04642252251505852,0.11776886135339737,0.08640461415052414,0.053499385714530945,0.04287859424948692,0.07117624580860138,0.09328967332839966,0.15878503024578094,0.11197251081466675,0.1298847496509552,0.1612771451473236,0.10957908630371094,0.16366039216518402,0.1615617871284485,0.1615617871284485,0.16277076303958893,0.16277076303958893,0.16166172921657562,0.1615617871284485,0.1615617871284485,0.1615544557571411,0.1617218405008316,0.1617218405008316,0.161553755402565,0.30878710746765137,0.30879613757133484,0.30884119868278503,0.30878710746765137,0.30878710746765137,0.31836608052253723,0.30884119868278503,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.3162711560726166,0.30879613757133484
Mongolia,47.953115999999994,102.837314,1131,168,0.059337031096220016,0.24813726544380188,0.06737662106752396,0.048918552696704865,0.08155796676874161,0.15161654353141785,0.2620375454425812,0.3392423987388611,0.46572959423065186,0.5055863857269287,0.501754641532898,0.39114025235176086,0.14033062756061554,0.7487176060676575,0.25808805227279663,0.13750958442687988,0.13168837130069733,0.7099912166595459,0.7031208872795105,0.6745612025260925,0.6131495237350464,0.48723897337913513,0.46522027254104614,0.6786773800849915,0.04214105010032654,0.13010360300540924,0.041507869958877563,0.04164808616042137,0.04214105010032654,0.0417824424803257,0.29468128085136414,0.49321287870407104,0.585045337677002,0.5656528472900391,0.6225590109825134,0.552030086517334,0.0493834912776947,0.1381796896457672,0.053929656744003296,0.051261890679597855,0.05116526782512665,0.07265220582485199,0.1284378170967102,0.20605261623859406,0.5728797912597656,0.6873552799224854,0.5707315802574158,0.25550127029418945,0.025187749415636063,0.032691117376089096,0.025187749415636063,0.025187749415636063,0.025187749415636063,0.025187749415636063,0.03318868950009346,0.04073904827237129,0.04201929271221161,0.03310190141201019,0.040151841938495636,0.03023696132004261,0.108841173350811,0.2900345027446747,0.12875515222549438,0.14408916234970093,0.10086765885353088,0.29257893562316895,0.31066277623176575,0.17635098099708557,0.09121949225664139,0.09472185373306274,0.07878829538822174,0.13442428410053253,0.03597963601350784,0.04949647933244705,0.035357631742954254,0.03447553142905235,0.03580616042017937,0.037576839327812195,0.059794146567583084,0.28501924872398376,0.3615831434726715,0.36520159244537354,0.38082602620124817,0.2008228302001953,0.026435978710651398,0.027509553357958794,0.026910195127129555,0.026435978710651398,0.026897292584180832,0.02698962762951851,0.03252311423420906,0.03417227417230606,0.042650531977415085,0.04332486167550087,0.04332146421074867,0.03874218091368675,0.1615617871284485,0.1615617871284485,0.16163843870162964,0.16163843870162964,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615544557571411,0.1615617871284485,0.1615617871284485,0.3088468015193939,0.30882394313812256,0.3088468015193939,0.3088468015193939,0.3088468015193939,0.30882394313812256,0.3088468015193939,0.3088017404079437,0.3088017404079437,0.3088017404079437,0.3088017404079437,0.3088017404079437
NChina,38.273596999999995,111.85395700000001,1167,207,0.05653233453631401,0.3881576359272003,0.2560335099697113,0.07965927571058273,0.14280760288238525,0.2610563635826111,0.37939801812171936,0.4592258632183075,0.5248426795005798,0.5365306735038757,0.5394427180290222,0.5142630338668823,0.20633071660995483,0.636157214641571,0.593117356300354,0.22264400124549866,0.6636004447937012,0.6807613372802734,0.6340728402137756,0.4279031455516815,0.24193009734153748,0.1072314903140068,0.1483023762702942,0.2532345652580261,0.045835744589567184,0.5907021164894104,0.06443043798208237,0.045835744589567184,0.06304163485765457,0.1439075618982315,0.5799137353897095,0.6298729777336121,0.6828906536102295,0.38253113627433777,0.3427705466747284,0.7239834070205688,0.10401467233896255,0.4031241536140442,0.2236243188381195,0.13340361416339874,0.1750188022851944,0.22250378131866455,0.3435468077659607,0.7290688753128052,0.7815746665000916,0.7335368990898132,0.7470722794532776,0.6963701248168945,0.028219718486070633,0.053159940987825394,0.037615660578012466,0.028219718486070633,0.0275693628937006,0.04080329090356827,0.054129790514707565,0.07446140795946121,0.05442114174365997,0.029823720455169678,0.03798277676105499,0.07238776981830597,0.20998361706733704,0.49804583191871643,0.6462645530700684,0.2708873152732849,0.38962841033935547,0.2659274935722351,0.3674594461917877,0.18562154471874237,0.15966783463954926,0.04465474560856819,0.051007531583309174,0.106194406747818,0.035950254648923874,0.22107048332691193,0.0523139126598835,0.03607781603932381,0.03869940713047981,0.05588008090853691,0.23334018886089325,0.411792516708374,0.368136465549469,0.7441269755363464,0.5666120052337646,0.38960322737693787,0.028136448934674263,0.035895682871341705,0.028578462079167366,0.028136448934674263,0.028143076226115227,0.029224565252661705,0.03504190593957901,0.03575221821665764,0.044021252542734146,0.04530567675828934,0.04560534656047821,0.04404805973172188,0.16163843870162964,0.1615617871284485,0.16166172921657562,0.16166172921657562,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.1615617871284485,0.161553755402565,0.16165193915367126,0.161553755402565,0.1615617871284485,0.30884119868278503,0.3110933303833008,0.30884119868278503,0.30878862738609314,0.30884119868278503,0.30884119868278503,0.30884119868278503,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484
Qinghai,36.985946999999996,100.028852,1120,212,0.038012996315956116,0.21386151015758514,0.1738334447145462,0.048281002789735794,0.04285556077957153,0.07023295760154724,0.19708149135112762,0.21157948672771454,0.21349908411502838,0.41968417167663574,0.41563713550567627,0.22152453660964966,0.5463252663612366,0.8359795808792114,0.7341670989990234,0.6372969150543213,0.4716677963733673,0.7036669850349426,0.8235194683074951,0.839491069316864,0.7869068384170532,0.38928332924842834,0.4049019515514374,0.7759991884231567,0.05848640576004982,0.2988576889038086,0.0923299789428711,0.058639634400606155,0.05889951065182686,0.06066523492336273,0.08386394381523132,0.1575022041797638,0.45016804337501526,0.8323429822921753,0.7573666572570801,0.46498003602027893,0.03731262683868408,0.04390162602066994,0.0569939911365509,0.03909781202673912,0.03699597343802452,0.04199579730629921,0.04238587245345116,0.03823481872677803,0.04233181104063988,0.10366465896368027,0.10558471828699112,0.04509460926055908,0.026495521888136864,0.039675142616033554,0.03792706876993179,0.02688749134540558,0.026737917214632034,0.02655920758843422,0.03233781084418297,0.03392597287893295,0.04951344430446625,0.04118600860238075,0.04081860929727554,0.04345308989286423,0.04172633960843086,0.06570287048816681,0.11144647002220154,0.05082109943032265,0.041663218289613724,0.05952180549502373,0.05183260142803192,0.04342634230852127,0.04675159975886345,0.04811044782400131,0.04608748480677605,0.041743941605091095,0.2606586217880249,0.2436782419681549,0.2510984539985657,0.2225026935338974,0.25860193371772766,0.23539820313453674,0.215309739112854,0.21288497745990753,0.2632320523262024,0.47879210114479065,0.46308839321136475,0.33530953526496887,0.0242691058665514,0.031169867143034935,0.02524435520172119,0.025200987234711647,0.02416333183646202,0.023740652948617935,0.024286886677145958,0.04430494084954262,0.0526827871799469,0.08982191979885101,0.08978546410799026,0.070093534886837,0.34392049908638,0.23405714333057404,0.3860245645046234,0.34499603509902954,0.33754003047943115,0.33451753854751587,0.31422725319862366,0.24221408367156982,0.22162210941314697,0.1978514939546585,0.19702114164829254,0.23451292514801025,0.31113216280937195,0.31113216280937195,0.3317265212535858,0.3317672610282898,0.31113216280937195,0.31113216280937195,0.31113216280937195,0.31113216280937195,0.31113216280937195,0.3636941611766815,0.3569692075252533,0.31116172671318054
Russia,57.00416,101.654804,1127,132,0.03130912035703659,0.07078448683023453,0.03142719343304634,0.03130985051393509,0.03158343955874443,0.0316549614071846,0.06709332764148712,0.10365507006645203,0.10375594347715378,0.14252397418022156,0.09639866650104523,0.10309161990880966,0.026376210153102875,0.059276048094034195,0.028154535219073296,0.026554251089692116,0.026653137058019638,0.03715009614825249,0.057896070182323456,0.07238863408565521,0.05318460240960121,0.05696635693311691,0.05439860746264458,0.07467242330312729,0.026503881439566612,0.026451146230101585,0.026264823973178864,0.026503881439566612,0.026503881439566612,0.026240846142172813,0.027396993711590767,0.06333895027637482,0.08649290353059769,0.07363319396972656,0.08708560466766357,0.07026069611310959,0.02548181638121605,0.026797469705343246,0.025665733963251114,0.025529220700263977,0.025219861418008804,0.02593797817826271,0.027006706222891808,0.029343729838728905,0.028531963005661964,0.04117516428232193,0.02839459665119648,0.028880268335342407,0.0256419125944376,0.03712451085448265,0.02651883289217949,0.025318333879113197,0.025318333879113197,0.02532791532576084,0.03597937896847725,0.047618161886930466,0.03599169850349426,0.03639926016330719,0.04395785927772522,0.07252057641744614,0.027857383713126183,0.057874470949172974,0.027963967993855476,0.027909331023693085,0.027657752856612206,0.027592286467552185,0.06778231263160706,0.09879649430513382,0.19170595705509186,0.16916479170322418,0.1648273766040802,0.09485779702663422,0.04371194541454315,0.04151760786771774,0.04216671735048294,0.04460052400827408,0.04241251200437546,0.038281671702861786,0.04366801306605339,0.08498860895633698,0.062131740152835846,0.06670264899730682,0.058447740972042084,0.06933964043855667,0.025056468322873116,0.025170136243104935,0.025072824209928513,0.025053733959794044,0.02493233047425747,0.02493233047425747,0.02498886175453663,0.026503069326281548,0.027377907186746597,0.027684403583407402,0.027339491993188858,0.027159718796610832,0.1644665002822876,0.16120688617229462,0.1612429916858673,0.1612429916858673,0.1612429916858673,0.16183537244796753,0.16120688617229462,0.16120688617229462,0.16120688617229462,0.16120688617229462,0.16120688617229462,0.16120688617229462,0.30879613757133484,0.30884119868278503,0.30884119868278503,0.3088183104991913,0.3088183104991913,0.30884119868278503,0.30884119868278503,0.30884119868278503,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484
SChina,24.044104,112.149584,1169,264,0.330632746219635,0.290020614862442,0.20272739231586456,0.17148001492023468,0.3620254397392273,0.36304396390914917,0.4009179472923279,0.3265819549560547,0.3254062533378601,0.21127767860889435,0.22747987508773804,0.23836249113082886,0.09024062752723694,0.03327731043100357,0.05335935577750206,0.08301817625761032,0.08644523471593857,0.05475953593850136,0.034702688455581665,0.032302126288414,0.026434162631630898,0.026396239176392555,0.026403898373246193,0.026278285309672356,0.05284183472394943,0.04560058191418648,0.044150449335575104,0.052901022136211395,0.04533638805150986,0.04156848043203354,0.04489048197865486,0.04431901499629021,0.04524824023246765,0.04338551312685013,0.042649511247873306,0.04248470440506935,0.05025000125169754,0.06114748865365982,0.06204739958047867,0.06329506635665894,0.0674872174859047,0.11626803129911423,0.12393081188201904,0.11025335639715195,0.12252118438482285,0.07155700773000717,0.0487901009619236,0.04475223273038864,0.07536332309246063,0.06949377059936523,0.09409595280885696,0.08755728602409363,0.06504979729652405,0.04280629754066467,0.03098367340862751,0.031508270651102066,0.03212543576955795,0.029633555561304092,0.028929414227604866,0.047446396201848984,0.09910096973180771,0.04315667599439621,0.05603746697306633,0.07039878517389297,0.07990967482328415,0.09247078001499176,0.28180262446403503,0.05379364266991615,0.05466797947883606,0.062017396092414856,0.058144666254520416,0.04523121565580368,0.1814109832048416,0.39389246702194214,0.19601216912269592,0.16276077926158905,0.21813076734542847,0.2221803218126297,0.26913365721702576,0.280091255903244,0.30643364787101746,0.2426563799381256,0.3398814797401428,0.30367812514305115,0.06561138480901718,0.09031479805707932,0.060742124915122986,0.04756590723991394,0.05459140986204147,0.044450901448726654,0.05848392844200134,0.05820144712924957,0.06546986103057861,0.07499685138463974,0.06186588481068611,0.0729873850941658,0.1615617871284485,0.1617218405008316,0.16366980969905853,0.16367721557617188,0.1615617871284485,0.1615617871284485,0.16165193915367126,0.16165167093276978,0.1616089642047882,0.16160829365253448,0.1616089642047882,0.1616089642047882,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.30879613757133484,0.3162711560726166,0.3162711560726166,0.3162711560726166,0.3162711560726166,0.3162711560726166
SEA,13.74395,102.366493,1129,305,0.7375920414924622,0.6316288113594055,0.7681117653846741,0.7764334082603455,0.6635196805000305,0.6570437550544739,0.6368054747581482,0.5143253207206726,0.4769928455352783,0.48225167393684387,0.5099623203277588,0.575407087802887,0.03227703273296356,0.043210867792367935,0.0365157313644886,0.03294246643781662,0.03179921209812164,0.05047955736517906,0.048129308968782425,0.04289936646819115,0.042055170983076096,0.042055170983076096,0.041495922952890396,0.0409131720662117,0.3343382477760315,0.12653307616710663,0.19650799036026,0.19566930830478668,0.6688944101333618,0.5150038599967957,0.45195233821868896,0.16370463371276855,0.130144402384758,0.12220702320337296,0.11917740851640701,0.16976222395896912,0.7110000252723694,0.24320673942565918,0.5497060418128967,0.7665531039237976,0.8515852689743042,0.6044907569885254,0.557971715927124,0.4161446988582611,0.2018839567899704,0.200630784034729,0.20180730521678925,0.09649147093296051,0.0662664845585823,0.0634458139538765,0.11158648878335953,0.11050867289304733,0.06296730786561966,0.15418343245983124,0.12679757177829742,0.03968840464949608,0.03995984420180321,0.038672469556331635,0.03709333762526512,0.03746337071061134,0.028042517602443695,0.02529146708548069,0.028612561523914337,0.03368755429983139,0.05678296461701393,0.07875163108110428,0.07905484735965729,0.03975196182727814,0.03766629472374916,0.03244501352310181,0.03244501352310181,0.032369378954172134,0.5485602617263794,0.4936351180076599,0.6989056468009949,0.733275830745697,0.3307131826877594,0.19172552227973938,0.17058609426021576,0.0823391005396843,0.08003628998994827,0.07944808155298233,0.07922705262899399,0.09252891689538956,0.398100346326828,0.08730988949537277,0.37263497710227966,0.40383464097976685,0.06894044578075409,0.04340507462620735,0.05006742477416992,0.03957909345626831,0.03953886032104492,0.03888212516903877,0.035654403269290924,0.034220192581415176,0.17026174068450928,0.16219112277030945,0.16404642164707184,0.17205192148685455,0.1682836264371872,0.16219112277030945,0.16219112277030945,0.16261698305606842,0.1682075411081314,0.1682075411081314,0.1682075411081314,0.16219112277030945,0.30877432227134705,0.3097781836986542,0.3137138783931732,0.3206346929073334,0.30973148345947266,0.311710923910141,0.3135235607624054,0.3116435110569,0.31161460280418396,0.31161460280418396,0.3098055422306061,0.3116435110569
WA,34.10001,43.268346,893,224,0.11148722469806671,0.26874589920043945,0.13944029808044434,0.11740896850824356,0.136636421084404,0.23506508767604828,0.2768736779689789,0.22870850563049316,0.16124308109283447,0.17255716025829315,0.1641465723514557,0.15250474214553833,0.08952628821134567,0.029118521139025688,0.0734473317861557,0.08617927879095078,0.07194872945547104,0.07736454159021378,0.04698679968714714,0.026133041828870773,0.02637304738163948,0.026514753699302673,0.02643445134162903,0.025735266506671906,0.5573477149009705,0.6751887202262878,0.812966525554657,0.6712772846221924,0.615539014339447,0.5736303925514221,0.5997541546821594,0.6011180877685547,0.21741549670696259,0.21526609361171722,0.21957750618457794,0.5407918095588684,0.05475572124123573,0.4363522231578827,0.22273878753185272,0.057459089905023575,0.06609074026346207,0.20349979400634766,0.46655014157295227,0.48052674531936646,0.5043856501579285,0.23380139470100403,0.2317735254764557,0.5339714884757996,0.04167718440294266,0.03332829475402832,0.033594198524951935,0.043289098888635635,0.03550964593887329,0.036513231694698334,0.03596363589167595,0.03363301232457161,0.0931849554181099,0.04097305238246918,0.03804459050297737,0.03430119529366493,0.03607616573572159,0.024412503466010094,0.03395412862300873,0.033316776156425476,0.03281721472740173,0.033769749104976654,0.024412503466010094,0.02579759806394577,0.0253293514251709,0.02481461502611637,0.0253293514251709,0.025049567222595215,0.06891005486249924,0.2181386649608612,0.09034048020839691,0.06769254803657532,0.06425155699253082,0.07910867780447006,0.12596112489700317,0.23217609524726868,0.07318118214607239,0.07554654777050018,0.07377858459949493,0.12006258964538574,0.02808292768895626,0.027340035885572433,0.025453606620430946,0.0283214021474123,0.02727963961660862,0.026334334164857864,0.027648957446217537,0.028602227568626404,0.028536038473248482,0.028333766385912895,0.028536038473248482,0.029602624475955963,0.1614832729101181,0.17051063477993011,0.1615038514137268,0.1614832729101181,0.1614832729101181,0.16197264194488525,0.1719217151403427,0.1675986647605896,0.18212302029132843,0.18212302029132843,0.18212302029132843,0.18211397528648376,0.316401869058609,0.30876094102859497,0.3740922808647156,0.316401869058609,0.3088653087615967,0.3088276982307434,0.30876094102859497,0.30874907970428467,0.32281938195228577,0.32281938195228577,0.32281938195228577,0.32001787424087524
