,dest_location,bird_order,correlation_coefficient,p_value
0,Africa,Accipitriformes,-0.6314198727677011,0.027654675516340665
1,Africa,Anseriformes,0.19616892210067768,0.5411684781637156
2,Africa,Charadriiformes,0.5036171296029415,0.09506521571556337
3,Africa,Ciconiiformes,-0.3092148328248031,0.32807746807728505
4,Africa,Falconiformes,-0.24575497239678928,0.4413423121177414
5,Africa,Gruiformes,-0.16366463348973997,0.6112739853342022
6,Africa,Passeriformes,0.15827691164437996,0.6232109973088097
7,Africa,Pelecaniformes,-0.29108061341249597,0.3586671196444866
8,Africa,Suliformes,-0.3219006357876588,0.3075565507785429
9,CA,Accipitriformes,0.3777227093891326,0.2260726317031358
10,CA,Anseriformes,-0.5999096855625142,0.03920018136636483
11,CA,Charadriiformes,-0.7687925938232198,0.003476513238397496
12,CA,Ciconiiformes,-0.7713210579362096,0.0033057454688501684
13,CA,Falconiformes,-0.27511828601510235,0.3867896628076497
14,CA,Gruiformes,-0.49170947274176013,0.10445357889056947
15,CA,Passeriformes,-0.7417575164833367,0.005750742929284755
16,CA,Pelecaniformes,-0.3703917627410765,0.23594492873765335
17,CA,Suliformes,-0.2954687141846414,0.3511311078180551
18,Europe,Accipitriformes,-0.46892254797626676,0.12409801088466663
19,Europe,Anseriformes,0.14930707798578757,0.6432692630831631
20,Europe,Charadriiformes,0.029939233624758574,0.926409402732401
21,Europe,Ciconiiformes,-0.4486648153420691,0.1434695201438386
22,Europe,Falconiformes,-0.03336655714174526,0.9180087577395869
23,Europe,Gruiformes,0.29268202925125475,0.35590705533021266
24,Europe,Passeriformes,0.6165229936472231,0.03275433737596308
25,Europe,Pelecaniformes,-0.20156652266130742,0.5298653146572067
26,Europe,Suliformes,-0.10041729207411342,0.7561718110541231
27,JapanKorea,Accipitriformes,0.28333359496071975,0.3721778235239885
28,JapanKorea,Anseriformes,-0.08595329329486175,0.7905441714835828
29,JapanKorea,Charadriiformes,0.32760770059475,0.2985636319626715
30,JapanKorea,Ciconiiformes,0.14293880100123052,0.6576447816600222
31,JapanKorea,Falconiformes,-0.6048836783744442,0.037183211200026677
32,JapanKorea,Gruiformes,0.23066408576569902,0.470739901299621
33,JapanKorea,Passeriformes,0.3982790572442046,0.1997327843994999
34,JapanKorea,Pelecaniformes,-0.12744659295246177,0.693055783576718
35,JapanKorea,Suliformes,-0.6649106781544041,0.018315258406524235
36,NChina,Accipitriformes,-0.36988369612085537,0.23663845118929674
37,NChina,Anseriformes,0.43997792184360607,0.15233948074118925
38,NChina,Charadriiformes,-0.15454324419934012,0.631532609301541
39,NChina,Ciconiiformes,-0.5652264392072034,0.05547667857680814
40,NChina,Falconiformes,0.36912462348455244,0.23767685492150606
41,NChina,Gruiformes,0.8454946071448483,0.0005317744569826334
42,NChina,Passeriformes,-0.23329890420650137,0.4655428852977743
43,NChina,Pelecaniformes,-0.291590439136561,0.35778720336331155
44,NChina,Suliformes,0.39907445604652086,0.1987533238966451
45,Qinghai,Accipitriformes,-0.7132653586014526,0.009204840043021703
46,Qinghai,Anseriformes,-0.7124356346524646,0.00932433384322547
47,Qinghai,Charadriiformes,-0.8148539761556031,0.001244181486144847
48,Qinghai,Ciconiiformes,0.3486138686729338,0.2667553175460479
49,Qinghai,Falconiformes,-0.6531350084761198,0.021283674367198545
50,Qinghai,Gruiformes,-0.5096185943794856,0.0905558910907582
51,Qinghai,Passeriformes,-0.7703390436711612,0.003371293441793816
52,Qinghai,Pelecaniformes,-0.3233762601184968,0.30521705091066703
53,Qinghai,Suliformes,-0.12121708580983541,0.7074598586886601
54,Russia,Accipitriformes,0.4305493214467404,0.1623547809048444
55,Russia,Anseriformes,0.17367597449679215,0.5893236206303122
56,Russia,Charadriiformes,0.3841495926414817,0.21762495481438243
57,Russia,Ciconiiformes,0.6009704323482947,0.03876366721274613
58,Russia,Falconiformes,-0.30724271442514484,0.3313329710960282
59,Russia,Gruiformes,0.26368588456965575,0.40760281074795046
60,Russia,Passeriformes,0.2943844759892474,0.3529852504638185
61,Russia,Pelecaniformes,0.25596277193780664,0.4219731461246871
62,Russia,Suliformes,-0.4016731029159469,0.19557391515260902
63,SChina,Accipitriformes,0.2414838586711101,0.4495713950523973
64,SChina,Anseriformes,-0.16910386083289147,0.5993103166605096
65,SChina,Charadriiformes,-0.3771805791088608,0.22679407475968033
66,SChina,Ciconiiformes,0.31483032780203757,0.3189036775769705
67,SChina,Falconiformes,-0.3896819659666513,0.21050801541376854
68,SChina,Gruiformes,-0.295885048212236,0.3504205210845922
69,SChina,Passeriformes,0.5596238988220007,0.05848901604842619
70,SChina,Pelecaniformes,0.591281085137318,0.042881766342748984
71,SChina,Suliformes,-0.34734463412188227,0.2686192102917868
72,SEA,Accipitriformes,0.32693786606925,0.2996113992665134
73,SEA,Anseriformes,-0.10093667905289566,0.7549446714353688
74,SEA,Charadriiformes,0.21363968179362533,0.5049553355350263
75,SEA,Ciconiiformes,0.3268045910715018,0.2998201158664219
76,SEA,Falconiformes,0.922756700210829,1.900234797533248e-05
77,SEA,Gruiformes,-0.36232017986487025,0.24710572951588686
78,SEA,Passeriformes,0.49521804233283007,0.10162574612560443
79,SEA,Pelecaniformes,0.24582154639427542,0.44121462258189426
80,SEA,Suliformes,0.7523574256733669,0.0047554270140113325
81,USAandCanada,Accipitriformes,0.9339725725846477,8.840366609410522e-06
82,USAandCanada,Anseriformes,0.7410507966915475,0.005822263886783451
83,USAandCanada,Charadriiformes,0.10559901024647331,0.743952701168902
84,USAandCanada,Ciconiiformes,0.5449402397958977,0.06692059150112767
85,USAandCanada,Falconiformes,-0.9260790087505766,1.5339734974334428e-05
86,USAandCanada,Gruiformes,-0.41826676130662754,0.17601301325681692
87,USAandCanada,Passeriformes,0.6973718225768603,0.011701235858983462
88,USAandCanada,Pelecaniformes,0.4735620373901412,0.1199164610831694
89,USAandCanada,Suliformes,-0.5800912278913644,0.048012396231773974
