,index,od,month,treeNumber,dateinyear,days
0,4,Europe-Africa,Jan,53,53,53
1,3,Europe-Africa,Feb,34,34,34
2,7,Europe-Africa,Mar,5,5,5
3,0,Europe-Africa,Apr,7,7,7
4,8,Europe-Africa,May,22,22,22
5,6,Europe-Africa,Jun,159,159,159
6,5,Europe-Africa,Jul,887,887,887
7,1,Europe-Africa,Aug,2709,2709,2709
8,11,Europe-Africa,Sep,4300,4300,4300
9,10,Europe-Africa,Oct,5672,5672,5672
10,9,Europe-Africa,Nov,4352,4352,4352
11,2,Europe-Africa,Dec,86,86,86
12,15,Europe-CA,Jan,518,518,518
13,14,Europe-CA,Feb,428,428,428
14,18,Europe-CA,Mar,525,525,525
15,12,Europe-CA,Apr,1794,1794,1794
16,19,Europe-CA,May,5934,5934,5934
17,17,Europe-CA,Jun,11332,11332,11332
18,16,Europe-CA,Jul,15897,15897,15897
19,13,Europe-CA,Aug,17063,17063,17063
20,22,Europe-CA,Sep,12520,12520,12520
21,21,Europe-CA,Oct,2427,2427,2427
22,20,Europe-CA,Nov,2,2,2
23,27,Europe-JapanKorea,Jan,3837,3837,3837
24,26,Europe-JapanKorea,Feb,5706,5706,5706
25,30,Europe-JapanKorea,Mar,9127,9127,9127
26,23,Europe-JapanKorea,Apr,10557,10557,10557
27,31,Europe-JapanKorea,May,11359,11359,11359
28,29,Europe-JapanKorea,Jun,11031,11031,11031
29,28,Europe-JapanKorea,Jul,10889,10889,10889
30,24,Europe-JapanKorea,Aug,8781,8781,8781
31,34,Europe-JapanKorea,Sep,6629,6629,6629
32,33,Europe-JapanKorea,Oct,2765,2765,2765
33,32,Europe-JapanKorea,Nov,108,108,108
34,25,Europe-JapanKorea,Dec,3,3,3
35,39,Europe-Qinghai,Jan,13667,13667,13667
36,38,Europe-Qinghai,Feb,8969,8969,8969
37,42,Europe-Qinghai,Mar,1335,1335,1335
38,35,Europe-Qinghai,Apr,1,1,1
39,43,Europe-Qinghai,May,5,5,5
40,41,Europe-Qinghai,Jun,3,3,3
41,40,Europe-Qinghai,Jul,14,14,14
42,36,Europe-Qinghai,Aug,26,26,26
43,46,Europe-Qinghai,Sep,38,38,38
44,45,Europe-Qinghai,Oct,346,346,346
45,44,Europe-Qinghai,Nov,1775,1775,1775
46,37,Europe-Qinghai,Dec,7471,7471,7471
47,51,Europe-Russia,Jan,70012,70012,70012
48,50,Europe-Russia,Feb,5336,5336,5336
49,54,Europe-Russia,Mar,977,977,977
50,47,Europe-Russia,Apr,2070,2070,2070
51,55,Europe-Russia,May,646,646,646
52,53,Europe-Russia,Jun,225,225,225
53,52,Europe-Russia,Jul,724,724,724
54,48,Europe-Russia,Aug,937,937,937
55,58,Europe-Russia,Sep,62,62,62
56,57,Europe-Russia,Oct,1,1,1
57,56,Europe-Russia,Nov,4,4,4
58,49,Europe-Russia,Dec,2,2,2
59,63,JapanKorea-Europe,Jan,2103,2103,2103
60,62,JapanKorea-Europe,Feb,9740,9740,9740
61,66,JapanKorea-Europe,Mar,17672,17672,17672
62,59,JapanKorea-Europe,Apr,16032,16032,16032
63,67,JapanKorea-Europe,May,13776,13776,13776
64,65,JapanKorea-Europe,Jun,9833,9833,9833
65,64,JapanKorea-Europe,Jul,5848,5848,5848
66,60,JapanKorea-Europe,Aug,1910,1910,1910
67,70,JapanKorea-Europe,Sep,89,89,89
68,69,JapanKorea-Europe,Oct,2,2,2
69,68,JapanKorea-Europe,Nov,2,2,2
70,61,JapanKorea-Europe,Dec,20,20,20
71,74,JapanKorea-SChina,Jan,29320,29320,29320
72,73,JapanKorea-SChina,Feb,2524,2524,2524
73,77,JapanKorea-SChina,Mar,1950,1950,1950
74,71,JapanKorea-SChina,Apr,2045,2045,2045
75,78,JapanKorea-SChina,May,3514,3514,3514
76,76,JapanKorea-SChina,Jun,6261,6261,6261
77,75,JapanKorea-SChina,Jul,9841,9841,9841
78,72,JapanKorea-SChina,Aug,12628,12628,12628
79,80,JapanKorea-SChina,Sep,10796,10796,10796
80,79,JapanKorea-SChina,Oct,2121,2121,2121
81,85,JapanKorea-USAandCanada,Jan,95,95,95
82,84,JapanKorea-USAandCanada,Feb,567,567,567
83,88,JapanKorea-USAandCanada,Mar,1006,1006,1006
84,81,JapanKorea-USAandCanada,Apr,1966,1966,1966
85,89,JapanKorea-USAandCanada,May,6111,6111,6111
86,87,JapanKorea-USAandCanada,Jun,12507,12507,12507
87,86,JapanKorea-USAandCanada,Jul,18219,18219,18219
88,82,JapanKorea-USAandCanada,Aug,21261,21261,21261
89,91,JapanKorea-USAandCanada,Sep,15257,15257,15257
90,90,JapanKorea-USAandCanada,Oct,925,925,925
91,83,JapanKorea-USAandCanada,Dec,4,4,4
92,96,NChina-Europe,Jan,4801,4801,4801
93,95,NChina-Europe,Feb,2004,2004,2004
94,99,NChina-Europe,Mar,1421,1421,1421
95,92,NChina-Europe,Apr,602,602,602
96,100,NChina-Europe,May,680,680,680
97,98,NChina-Europe,Jun,1033,1033,1033
98,97,NChina-Europe,Jul,1465,1465,1465
99,93,NChina-Europe,Aug,2155,2155,2155
100,103,NChina-Europe,Sep,3266,3266,3266
101,102,NChina-Europe,Oct,5848,5848,5848
102,101,NChina-Europe,Nov,7466,7466,7466
103,94,NChina-Europe,Dec,6519,6519,6519
104,108,NChina-JapanKorea,Jan,2290,2290,2290
105,107,NChina-JapanKorea,Feb,2083,2083,2083
106,111,NChina-JapanKorea,Mar,2196,2196,2196
107,104,NChina-JapanKorea,Apr,2134,2134,2134
108,112,NChina-JapanKorea,May,2246,2246,2246
109,110,NChina-JapanKorea,Jun,2866,2866,2866
110,109,NChina-JapanKorea,Jul,3425,3425,3425
111,105,NChina-JapanKorea,Aug,3525,3525,3525
112,115,NChina-JapanKorea,Sep,2405,2405,2405
113,114,NChina-JapanKorea,Oct,843,843,843
114,113,NChina-JapanKorea,Nov,386,386,386
115,106,NChina-JapanKorea,Dec,594,594,594
116,120,NChina-Qinghai,Jan,5248,5248,5248
117,119,NChina-Qinghai,Feb,1978,1978,1978
118,123,NChina-Qinghai,Mar,298,298,298
119,116,NChina-Qinghai,Apr,86,86,86
120,124,NChina-Qinghai,May,260,260,260
121,122,NChina-Qinghai,Jun,526,526,526
122,121,NChina-Qinghai,Jul,1016,1016,1016
123,117,NChina-Qinghai,Aug,1758,1758,1758
124,127,NChina-Qinghai,Sep,3157,3157,3157
125,126,NChina-Qinghai,Oct,5835,5835,5835
126,125,NChina-Qinghai,Nov,7908,7908,7908
127,118,NChina-Qinghai,Dec,7697,7697,7697
128,132,NChina-SChina,Jan,39086,39086,39086
129,131,NChina-SChina,Feb,14543,14543,14543
130,135,NChina-SChina,Mar,6738,6738,6738
131,128,NChina-SChina,Apr,3111,3111,3111
132,136,NChina-SChina,May,1907,1907,1907
133,134,NChina-SChina,Jun,1291,1291,1291
134,133,NChina-SChina,Jul,962,962,962
135,129,NChina-SChina,Aug,717,717,717
136,139,NChina-SChina,Sep,663,663,663
137,138,NChina-SChina,Oct,876,876,876
138,137,NChina-SChina,Nov,1374,1374,1374
139,130,NChina-SChina,Dec,1921,1921,1921
140,144,Qinghai-Europe,Jan,8393,8393,8393
141,143,Qinghai-Europe,Feb,6833,6833,6833
142,147,Qinghai-Europe,Mar,4400,4400,4400
143,140,Qinghai-Europe,Apr,559,559,559
144,148,Qinghai-Europe,May,69,69,69
145,146,Qinghai-Europe,Jun,43,43,43
146,145,Qinghai-Europe,Jul,26,26,26
147,141,Qinghai-Europe,Aug,30,30,30
148,151,Qinghai-Europe,Sep,24,24,24
149,150,Qinghai-Europe,Oct,257,257,257
150,149,Qinghai-Europe,Nov,1155,1155,1155
151,142,Qinghai-Europe,Dec,3757,3757,3757
152,156,Russia-Africa,Jan,42,42,42
153,155,Russia-Africa,Feb,28,28,28
154,159,Russia-Africa,Mar,4,4,4
155,152,Russia-Africa,Apr,13,13,13
156,160,Russia-Africa,May,41,41,41
157,158,Russia-Africa,Jun,412,412,412
158,157,Russia-Africa,Jul,2977,2977,2977
159,153,Russia-Africa,Aug,10895,10895,10895
160,163,Russia-Africa,Sep,18973,18973,18973
161,162,Russia-Africa,Oct,25544,25544,25544
162,161,Russia-Africa,Nov,15313,15313,15313
163,154,Russia-Africa,Dec,6,6,6
164,168,Russia-Europe,Jan,5814,5814,5814
165,167,Russia-Europe,Feb,517,517,517
166,171,Russia-Europe,Mar,1019,1019,1019
167,164,Russia-Europe,Apr,3270,3270,3270
168,172,Russia-Europe,May,3504,3504,3504
169,170,Russia-Europe,Jun,1004,1004,1004
170,169,Russia-Europe,Jul,297,297,297
171,165,Russia-Europe,Aug,193,193,193
172,175,Russia-Europe,Sep,191,191,191
173,174,Russia-Europe,Oct,222,222,222
174,173,Russia-Europe,Nov,164,164,164
175,166,Russia-Europe,Dec,324,324,324
176,179,SChina-JapanKorea,Jan,21891,21891,21891
177,178,SChina-JapanKorea,Feb,17541,17541,17541
178,182,SChina-JapanKorea,Mar,16438,16438,16438
179,176,SChina-JapanKorea,Apr,12474,12474,12474
180,183,SChina-JapanKorea,May,7727,7727,7727
181,181,SChina-JapanKorea,Jun,3230,3230,3230
182,180,SChina-JapanKorea,Jul,1448,1448,1448
183,177,SChina-JapanKorea,Aug,79,79,79
184,186,SChina-JapanKorea,Sep,79,79,79
185,185,SChina-JapanKorea,Oct,39,39,39
186,184,SChina-JapanKorea,Nov,24,24,24
187,189,SChina-NChina,Jan,64267,64267,64267
188,188,SChina-NChina,Feb,15962,15962,15962
189,190,SChina-NChina,Mar,770,770,770
190,187,SChina-NChina,Apr,1,1,1
191,193,SChina-SEA,Jan,68822,68822,68822
192,192,SChina-SEA,Feb,11665,11665,11665
193,195,SChina-SEA,Mar,508,508,508
194,191,SChina-SEA,Apr,2,2,2
195,196,SChina-SEA,May,2,2,2
196,194,SChina-SEA,Jul,1,1,1
197,200,SEA-SChina,Jan,26963,26963,26963
198,199,SEA-SChina,Feb,16834,16834,16834
199,203,SEA-SChina,Mar,13809,13809,13809
200,197,SEA-SChina,Apr,7196,7196,7196
201,204,SEA-SChina,May,6694,6694,6694
202,202,SEA-SChina,Jun,4989,4989,4989
203,201,SEA-SChina,Jul,2961,2961,2961
204,198,SEA-SChina,Aug,1114,1114,1114
205,207,SEA-SChina,Sep,305,305,305
206,206,SEA-SChina,Oct,110,110,110
207,205,SEA-SChina,Nov,25,25,25
208,212,USAandCanada-JapanKorea,Jan,32,32,32
209,211,USAandCanada-JapanKorea,Feb,31,31,31
210,215,USAandCanada-JapanKorea,Mar,36,36,36
211,208,USAandCanada-JapanKorea,Apr,38,38,38
212,216,USAandCanada-JapanKorea,May,76,76,76
213,214,USAandCanada-JapanKorea,Jun,132,132,132
214,213,USAandCanada-JapanKorea,Jul,593,593,593
215,209,USAandCanada-JapanKorea,Aug,1956,1956,1956
216,219,USAandCanada-JapanKorea,Sep,9444,9444,9444
217,218,USAandCanada-JapanKorea,Oct,23564,23564,23564
218,217,USAandCanada-JapanKorea,Nov,13425,13425,13425
219,210,USAandCanada-JapanKorea,Dec,8,8,8
